IITA_Cassava_Kephis_ICK,MeristemID1,MeristemID2,MeristemID3,MeristemID4,MeristemID5,MeristemID6,MeristemID7,MeristemID8,MeristemID9,MeristemID10,MeristemID11,MeristemID12,MeristemID13,NumberMeristems
ICK100,ICK100_M1,ICK100_M2,ICK100_M3,ICK100_M4,ICK100_M5,ICK100_M6,ICK100_M7,,,,,,,7
ICK102,ICK102_M1,ICK102_M2,ICK102_M3,ICK102_M4,ICK102_M5,ICK102_M6,,,,,,,,6
ICK103,ICK103_M1,ICK103_M2,ICK103_M3,,,,,,,,,,,3
ICK104,ICK104_Tip,,,,,,,,,,,,,1
ICK106,ICK106_M1,ICK106_M2,ICK106_M3,ICK106_M4,,,,,,,,,,4
ICK108,ICK108_M1,ICK108_M2,ICK108_M3,ICK108_M4,ICK108_M5,,,,,,,,,5
ICK109,ICK109_M1,ICK109_M2,ICK109_M3,ICK109_M4,,,,,,,,,,4
ICK110,ICK110_M1,ICK110_M2,ICK110_M3,,,,,,,,,,,3
ICK111,ICK111_M1,ICK111_M2,ICK111_M3,ICK111_M4,ICK111_M5,ICK111_M6,,,,,,,,6
ICK113,ICK113_M1,ICK113_M2,ICK113_M3,ICK113_M4,ICK113_M5,,,,,,,,,5
ICK114,ICK114_M1,,,,,,,,,,,,,1
ICK115,ICK115_M1,ICK115_M2,ICK115_M3,ICK115_M4,ICK115_M5,ICK115_M6,ICK115_M7,,,,,,,7
ICK117,ICK117_M1,ICK117_M2,ICK117_M3,,,,,,,,,,,3
ICK118,ICK118_M1,ICK118_M2,ICK118_M3,,,,,,,,,,,3
ICK119,ICK119_M1,ICK119_M2,ICK119_M3,ICK119_M4,ICK119_M5,ICK119_M6,ICK119_M7,,,,,,,7
ICK120,ICK120_Tip,,,,,,,,,,,,,1
ICK121,ICK121_M1,ICK121_M2,,,,,,,,,,,,2
ICK122,ICK122_M1,ICK122_M2,ICK122_M3,ICK122_M4,ICK122_M5,ICK122_M6,ICK122_M7,ICK122_Tip,,,,,,8
ICK124,ICK124_M1,ICK124_M2,ICK124_M3,ICK124_M4,,,,,,,,,,4
ICK125,ICK125_M1,ICK125_M4,,,,,,,,,,,,2
ICK126,ICK126_M1,ICK126_M2,,,,,,,,,,,,2
ICK128,ICK128_M1,,,,,,,,,,,,,1
ICK129,ICK129_M1,,,,,,,,,,,,,1
ICK135,ICK135_M1,ICK135_M2,ICK135_Tip,,,,,,,,,,,3
ICK136,ICK136_M1,ICK136_M2,ICK136_M3,,,,,,,,,,,3
ICK138,ICK138_M1,ICK138_M2,ICK138_M3,ICK138_M4,,,,,,,,,,4
ICK143,ICK143_M1,ICK143_M2,ICK143_M3,,,,,,,,,,,3
ICK145,ICK145_M1,ICK145_M2,ICK145_M3,ICK145_M4,ICK145_M5,ICK145_M6,ICK145_M7,,,,,,,7
ICK146,ICK146_M1,ICK146_M2,ICK146_M3,ICK146_M4,ICK146_M5,ICK146_M6,,,,,,,,6
ICK147,ICK147_M1,ICK147_M2,ICK147_M3,ICK147_M4,ICK147_M5,ICK147_M6,,,,,,,,6
ICK148,ICK148_M1,ICK148_M2,ICK148_M3,,,,,,,,,,,3
ICK150,ICK150_M1,ICK150_M2,ICK150_M3,ICK150_M4,ICK150_M5,ICK150_Tip,,,,,,,,6
ICK151,ICK151_M1,ICK151_M2,ICK151_M3,ICK151_M4,ICK151_M5,ICK151_M6,,,,,,,,6
ICK153,ICK153_Tip,,,,,,,,,,,,,1
ICK155,ICK155_M1,ICK155_M2,ICK155_M3,ICK155_M4,ICK155_M5,ICK155_M6,,,,,,,,6
ICK157,ICK157_M1,ICK157_M2,,,,,,,,,,,,2
ICK166,ICK166_Tip,,,,,,,,,,,,,1
ICK167,ICK167_M1,ICK167_M2,ICK167_M3,ICK167_M4,ICK167_M5,ICK167_M6,,,,,,,,6
ICK170,ICK170_Tip,,,,,,,,,,,,,1
ICK172,ICK172_M1,ICK172_M2,,,,,,,,,,,,2
ICK174,ICK174_M1,ICK174_M2,ICK174_Tip,,,,,,,,,,,3
ICK176,ICK176_M1,ICK176_M2,,,,,,,,,,,,2
ICK177,ICK177_M1,ICK177_M2,ICK177_M3,ICK177_M4,,,,,,,,,,4
ICK178,ICK178_M1,ICK178_M2,ICK178_M3,ICK178_M4,,,,,,,,,,4
ICK179,ICK179_M1,ICK179_M2,ICK179_M3,ICK179_M4,ICK179_M5,,,,,,,,,5
ICK182,ICK182_M1,ICK182_M2,ICK182_M3,ICK182_M4,ICK182_M5,,,,,,,,,5
ICK184,ICK184_M1,ICK184_M2,,,,,,,,,,,,2
ICK185,ICK185_M1,ICK185_M10,ICK185_M2,ICK185_M3,ICK185_M4,ICK185_M5,ICK185_M6,ICK185_M7,ICK185_M8,ICK185_M9,,,,10
ICK186,ICK186_M1,ICK186_M2,ICK186_M3,ICK186_M4,ICK186_M5,ICK186_M6,,,,,,,,6
ICK187,ICK187_M1,,,,,,,,,,,,,1
ICK189,ICK189_M1,ICK189_M2,ICK189_M3,ICK189_M4,,,,,,,,,,4
ICK190,ICK190_M1,ICK190_M2,,,,,,,,,,,,2
ICK193,ICK193_M1,ICK193_M2,ICK193_M3,ICK193_M4,ICK193_M5,ICK193_M6,,,,,,,,6
ICK196,ICK196_M1,ICK196_M2,ICK196_M3,,,,,,,,,,,3
ICK197,ICK197_M1,ICK197_M2,ICK197_M3,ICK197_M4,,,,,,,,,,4
ICK201,ICK201_M1,,,,,,,,,,,,,1
ICK202,ICK202_M1,,,,,,,,,,,,,1
ICK203,ICK203_M1,ICK203_M2,,,,,,,,,,,,2
ICK204,ICK204_M1,ICK204_M2,ICK204_M3,ICK204_M4,,,,,,,,,,4
ICK206,ICK206_M1,ICK206_M2,ICK206_M3,,,,,,,,,,,3
ICK208,ICK208_M1,,,,,,,,,,,,,1
ICK210,ICK210_M1,ICK210_M2,,,,,,,,,,,,2
ICK211,ICK211_M1,ICK211_M2,ICK211_M3,,,,,,,,,,,3
ICK213,ICK213_M1,,,,,,,,,,,,,1
ICK216,ICK216_M1,ICK216_M2,ICK216_M3,ICK216_M4,ICK216_M5,ICK216_M6,ICK216_M7,,,,,,,7
